signal_id,timestamp_ms,alpha_wave,beta_wave,gamma_wave,delta_wave,theta_wave,focus_index,system_load_percent,response_accuracy
1,1000,0.62,0.74,0.58,0.21,0.34,0.81,35,0.97
2,2000,0.66,0.77,0.62,0.23,0.31,0.84,38,0.98
3,3000,0.68,0.80,0.65,0.25,0.29,0.88,42,0.99
4,4000,0.63,0.78,0.61,0.22,0.33,0.83,39,0.97
5,5000,0.70,0.82,0.67,0.26,0.30,0.90,45,0.99
6,6000,0.72,0.85,0.69,0.27,0.28,0.92,48,0.99
7,7000,0.65,0.79,0.63,0.24,0.32,0.86,41,0.98
8,8000,0.60,0.73,0.59,0.22,0.35,0.80,36,0.96
9,9000,0.75,0.88,0.71,0.29,0.27,0.93,51,0.99
10,10000,0.77,0.90,0.73,0.30,0.26,0.95,53,0.99
11,11000,0.73,0.86,0.70,0.28,0.28,0.91,50,0.98
12,12000,0.71,0.83,0.68,0.27,0.29,0.89,47,0.98
13,13000,0.68,0.80,0.66,0.25,0.30,0.87,43,0.97
14,14000,0.64,0.77,0.62,0.23,0.32,0.83,39,0.97
15,15000,0.78,0.92,0.75,0.31,0.25,0.96,56,1.00
16,16000,0.79,0.93,0.76,0.32,0.24,0.97,58,1.00
17,17000,0.76,0.89,0.72,0.30,0.26,0.94,54,0.99
18,18000,0.70,0.83,0.67,0.26,0.29,0.88,46,0.98
19,19000,0.66,0.78,0.63,0.23,0.31,0.84,40,0.97
20,20000,0.61,0.74,0.59,0.21,0.34,0.80,35,0.96
